country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Russian Federation,RUS,2001,4726000000.0,21595000.0,4.32494721249099,18030000.0,13.5343967819198,306602070620.5,21.4770072117159,8.978
Singapore,SGP,2001,4641000000.0,7522000.0,2.82595507856574,4363000.0,4.417225822092,89793790669.6515,0.997197956155961,3.76
El Salvador,SLV,2001,452000000.0,804000.0,18.5656781401462,933000.0,5.34921494315106,12282533600.0,3.7508205747202,6.96
Thailand,THA,2001,9378000000.0,10133000.0,12.3221922176643,2011000.0,4.82145383587038,120296476180.402,1.62690887314091,2.6
Latin America & the Caribbean (IDA & IBRD countries),TLA,2001,27530214580.7299,135754875.443062,7.21468215327891,146275813.679943,5.70424539069666,2161323029966.51,5.30722081028547,9.15173819633987
Tunisia,TUN,2001,2061000000.0,5387000.0,21.7772213755876,1669000.0,3.11229711118575,22065832448.8623,1.98333333333337,14.4
Uruguay,URY,2001,700000000.0,2136000.0,21.4589697795128,531000.0,9.08229956320404,20898761742.2386,4.3593406521727,15.052
United States,USA,2001,105454000000.0,70975000.0,10.3858320759846,84755000.0,5.97388890463802,10581929000000.0,2.82617111885407,4.731
Albania,ALB,2002,492000000.0,470000.0,73.7432177223538,1303000.0,21.1216354493272,4348068242.19512,7.77052583431552,4.615
Australia,AUS,2002,12148000000.0,4841000.0,14.3767259914384,3461000.0,9.68426375613983,395788696012.059,2.98157453936348,6.375
Azerbaijan,AZE,2002,63000000.0,834000.0,2.3727535579063,1141000.0,3.53790804140768,6236087738.28284,2.7711647199827,10.04
Belgium,BEL,2002,7598000000.0,6720000.0,3.88048829549259,6773000.0,6.1145670568967,258383599375.177,1.64521436175357,6.91
Bulgaria,BGR,2002,1392000000.0,5563000.0,18.4557524572103,3188000.0,11.6312733582,16403043849.8297,5.81014365721825,18.11
Belarus,BLR,2002,295000000.0,1907000.0,3.42855814602171,6160000.0,5.80549925090332,14594900944.7658,42.5375481348794,3.0
Bolivia,BOL,2002,143000000.0,334000.0,9.19429600318762,217000.0,5.50194377882186,7905485146.44351,0.92825885161107,5.48
Brazil,BRA,2002,2142000000.0,3785000.0,3.10477846297532,2338000.0,4.64410136428551,509795273806.715,8.45016437708331,10.641
Central Europe and the Baltics,CEB,2002,21170767633.5387,173510081.363983,10.3025341089814,93740821.3431165,5.25275976392987,528497215430.66,3.12714222984608,13.8636944721676
China,CHN,2002,21742000000.0,97908000.0,8.7801603686921,16602000.0,7.97123832687992,1470557654799.95,-0.731970902350244,4.0
Colombia,COL,2002,1237000000.0,661000.0,8.67625091255039,1277000.0,8.70210865288356,97945812802.8882,6.35150728778872,14.481
Costa Rica,CRI,2002,1429000000.0,1335000.0,21.8651279213346,364000.0,6.27628626116919,16578820687.2881,9.16752048509119,6.396
Cyprus,CYP,2002,2178000000.0,2495000.0,40.466114792003,744000.0,10.6258436029561,11420228846.1538,2.80115505180747,3.336
Germany,DEU,2002,26717000000.0,17969000.0,4.06277432603006,80393000.0,10.407274236655,2102350798305.89,1.42080615551526,8.482
Dominican Republic,DOM,2002,2730000000.0,3058000.0,48.4437661922845,332000.0,5.6815171902315,27137440786.2562,5.22336769759447,6.779
Europe & Central Asia,ECS,2002,240729965520.51,723771886.750378,6.83887190695444,457281193.276423,7.75004390300654,11150951940750.1,2.78615988589508,8.64382425550551
Estonia,EST,2002,737000000.0,3253000.0,17.1570827491188,1849000.0,6.33550388662964,7370119619.4782,3.57191270164027,10.026
European Union,EUU,2002,190822521645.121,615268114.300364,7.14026614043592,316687650.393718,7.62302932992433,8100404174621.04,2.42443661219697,9.57999019578908
Georgia,GEO,2002,144000000.0,298000.0,14.5130941223379,317000.0,13.162343349936,3395766677.67315,5.58783730000794,12.59
High income,HIC,2002,395208196209.97,879165850.569389,6.63612140407413,638005764.690574,7.08836545826623,29042555250824.5,2.07408613571643,7.28065716214061
"Hong Kong SAR, China",HKG,2002,9849000000.0,16566000.0,4.48275876212291,64540000.0,6.02408134328839,166348866131.028,-2.98313878080415,7.28
Hungary,HUN,2002,3774000000.0,31739000.0,9.45454340281903,12966000.0,5.39877922570191,67608919144.3684,5.26544821583985,5.608
Indonesia,IDN,2002,5797000000.0,5033000.0,8.80627983468287,3231000.0,9.56795182327806,195660611165.183,11.9001175663778,6.604
Israel,ISR,2002,2426000000.0,862099.975585938,6.17089251556713,3273000.0,7.75677082968494,125055466461.227,5.77235772357722,12.888
Italy,ITA,2002,28213000000.0,63561000.0,9.05203188012039,44660000.0,6.49713051342819,1281746271196.04,2.46532319171165,9.211
Jordan,JOR,2002,1254000000.0,4677000.0,27.5471983208744,1276000.0,7.89497102292983,9582510578.27927,1.83299389002049,15.3
Japan,JPN,2002,6069000000.0,5239000.0,1.32831023241277,16523000.0,8.63000516984122,4182846045873.61,-0.923494026942321,5.386
"Korea, Rep.",KOR,2002,7617000000.0,5347000.0,3.96761939190256,7123000.0,6.23801064169718,627246933729.618,2.76226210296599,3.046
Kuwait,KWT,2002,320000000.0,2316000.0,1.88073023657577,1725000.0,24.4495762210381,38135788413.8276,0.888450148074907,1.1
Latin America & Caribbean (excluding high income),LAC,2002,25516146462.4069,128164683.08834,7.08243795682039,144402340.502194,5.26824660779311,1757086222415.93,5.22336769759447,9.30800444594571
Latin America & Caribbean,LCN,2002,36976005879.0228,152947999.421305,7.47349883183094,148796394.27917,5.46433387803757,2052733951836.01,3.95011663721593,9.78395261602722
Sri Lanka,LKA,2002,594000000.0,457000.0,9.95400045245457,533000.0,6.18701743382858,16536535647.0834,9.55103167007251,8.76
Luxembourg,LUX,2002,2497000000.0,885000.0,7.98620838522645,1049000.0,7.78455631344901,23649833332.1655,2.07408613571643,2.621
Latvia,LVA,2002,201000000.0,2297000.0,6.91538965043453,2306000.0,7.26284862000849,9249030241.01864,1.93887573855896,13.829
Morocco,MAR,2002,3157000000.0,4709000.0,30.0020105836074,1533000.0,5.74863667374901,47077192187.6418,2.79561966936936,11.59
Mexico,MEX,2002,9547000000.0,100153000.0,5.39838840511331,124633000.0,3.74887528394825,810666116505.478,5.03072733151295,3.003
Mauritius,MUS,2002,829000000.0,709000.0,28.1015426443401,162000.0,7.94926793616492,4906494249.38255,6.41933372221152,8.205
Malaysia,MYS,2002,8084000000.0,13292000.0,7.46898237084611,29866000.0,3.63263271999045,100845526315.789,1.80787246281536,3.48
